"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","delayed"
2007,3,5,1,659,700,750,755,"WN",4,"N623SW",51,55,43,-5,-1,"HOU","DAL",239,2,6,0,,0,0,0,0,0,0,"NO"
2007,3,5,1,945,940,1036,1035,"WN",154,"N501SW",51,55,42,1,5,"SAT","DAL",248,4,5,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,856,900,946,1000,"WN",681,"N479WN",110,120,94,-14,-4,"DEN","LAS",629,3,13,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,1300,1305,1522,1530,"WN",875,"N419WN",82,85,66,-8,-5,"ELP","AUS",528,4,12,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,704,710,804,810,"WN",2177,"N783SW",60,60,46,-6,-6,"HOU","MSY",303,3,11,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,1114,1115,1308,1325,"WN",2750,"N506SW",54,70,45,-17,-1,"LAS","PHX",256,3,6,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,839,840,948,950,"WN",772,"N729SW",69,70,54,-2,-1,"RNO","LAS",345,4,11,0,,0,0,0,0,0,0,"NO"
2007,3,7,3,1350,1350,1601,1610,"WN",866,"N658SW",191,200,172,-9,0,"FLL","MDW",1166,2,17,0,,0,0,0,0,0,0,"NO"
2007,3,7,3,703,700,829,825,"WN",1264,"N426WN",86,85,71,4,3,"OAK","SAN",446,2,13,0,,0,0,0,0,0,0,"NO"
2007,3,7,3,1808,1810,1919,1925,"WN",1547,"N631SW",71,75,60,-6,-2,"SMF","LAS",397,4,7,0,,0,0,0,0,0,0,"NO"
2007,3,8,4,1406,1405,1634,1710,"WN",418,"N250WN",208,245,194,-36,1,"BWI","SAT",1407,2,12,0,,0,0,0,0,0,0,"NO"
2007,3,8,4,1554,1550,1705,1705,"WN",2980,"N667SW",71,75,61,0,4,"ONT","SMF",389,4,6,0,,0,0,0,0,0,0,"NO"
2007,3,9,5,1034,1030,1131,1125,"WN",18,"N682SW",57,55,45,6,4,"HOU","DAL",239,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,10,6,1602,1555,1902,1910,"WN",1269,"N713SW",120,135,108,-8,7,"AUS","TPA",928,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,10,6,2010,2015,2118,2130,"WN",2209,"N641SW",68,75,58,-12,-5,"BWI","MHT",377,3,7,0,,0,0,0,0,0,0,"NO"
2007,3,10,6,1414,1415,1635,1650,"WN",1402,"N444WN",81,95,69,-15,-1,"GEG","SLC",546,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,10,6,1033,1035,1019,1025,"WN",804,"N643SW",46,50,31,-6,-2,"IND","MDW",162,4,11,0,,0,0,0,0,0,0,"NO"
2007,3,10,6,632,630,900,905,"WN",730,"N445WN",268,275,237,-5,2,"MDW","LAX",1750,17,14,0,,0,0,0,0,0,0,"NO"
2007,3,11,7,1827,1825,1923,1920,"WN",2128,"N306SW",56,55,41,3,2,"TUL","DAL",237,6,9,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,1147,1150,1248,1255,"WN",796,"N329SW",61,65,47,-7,-3,"BWI","BDL",283,4,10,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,2135,2135,2327,2335,"WN",2220,"N474WN",52,60,41,-8,0,"MDW","CMH",284,3,8,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,1316,1310,1426,1425,"WN",1604,"N398SW",70,75,60,1,6,"ONT","SMF",389,4,6,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,908,905,1132,1150,"WN",2265,"N674AA",144,165,121,-18,3,"PHL","MCO",861,8,15,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,1231,1230,1324,1335,"WN",953,"N667SW",53,65,46,-11,1,"PHX","SAN",304,2,5,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,825,825,855,855,"WN",1290,"N726SW",90,90,74,0,0,"RDU","BNA",443,5,11,0,,0,0,0,0,0,0,"NO"
2007,3,12,1,1119,1110,1300,1255,"WN",110,"N366SW",101,105,87,5,9,"SEA","SMF",605,4,10,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,845,845,1045,1130,"WN",597,"N476WN",300,345,288,-45,0,"BWI","SAN",2295,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,1034,1035,1313,1315,"WN",278,"N626SW",99,100,87,-2,-1,"JAN","MCO",587,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,1301,1300,1909,1850,"WN",1336,"N780SW",248,230,223,19,1,"LAX","BNA",1797,5,20,0,,0,0,0,19,0,0,"NO"
2007,3,13,2,2225,2125,2336,2230,"WN",2613,"N626SW",71,65,51,66,60,"MCI","OKC",313,4,16,0,,0,0,0,6,0,60,"YES"
2007,3,13,2,853,855,1003,1010,"WN",601,"N707SA",70,75,56,-7,-2,"MDW","BNA",395,4,10,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,906,905,1016,1015,"WN",1782,"N648SW",70,70,55,1,1,"SAN","TUS",367,3,12,0,,0,0,0,0,0,0,"NO"
2007,3,14,3,1801,1755,1919,1925,"WN",1188,"N233LV",258,270,244,-6,6,"CMH","LAS",1772,7,7,0,,0,0,0,0,0,0,"NO"
2007,3,14,3,1204,1205,1410,1415,"WN",183,"N478WN",66,70,52,-5,-1,"MDW","CLE",307,6,8,0,,0,0,0,0,0,0,"NO"
2007,3,14,3,945,950,1120,1145,"WN",121,"N739GB",215,235,194,-25,-5,"MSY","LAS",1501,3,18,0,,0,0,0,0,0,0,"NO"
2007,3,14,3,2057,1945,2315,2210,"WN",831,"N378SW",78,85,68,65,72,"MSY","TPA",487,3,7,0,,0,4,0,0,0,61,"YES"
2007,3,14,3,746,745,1043,1045,"WN",857,"N383SW",177,180,159,-2,1,"PHX","PDX",1009,3,15,0,,0,0,0,0,0,0,"NO"
2007,3,15,4,701,655,916,910,"WN",287,"N628SW",135,135,119,6,6,"CMH","TPA",829,3,13,0,,0,0,0,0,0,0,"NO"
2007,3,15,4,1900,1905,2007,2020,"WN",1880,"N697SW",127,135,116,-13,-5,"HOU","ABQ",759,3,8,0,,0,0,0,0,0,0,"NO"
2007,3,15,4,903,900,1021,1015,"WN",598,"N610WN",78,75,60,6,3,"OAK","LAX",337,7,11,0,,0,0,0,0,0,0,"NO"
2007,3,15,4,1335,1335,1427,1435,"WN",351,"N717SA",52,60,41,-8,0,"STL","MDW",251,2,9,0,,0,0,0,0,0,0,"NO"
2007,3,16,5,1754,1740,2037,2020,"WN",1432,"N375SW",103,100,82,17,14,"LAX","SLC",590,4,17,0,,0,4,0,3,0,10,"NO"
2007,3,16,5,1406,1335,1608,1600,"WN",48,"N207WN",122,145,111,8,31,"MDW","MSY",825,3,8,0,,0,0,0,0,0,0,"YES"
2007,3,16,5,1254,1155,1630,1535,"WN",1849,"N217JC",156,160,146,55,59,"MDW","RSW",1105,3,7,0,,0,55,0,0,0,0,"YES"
2007,3,17,6,1900,1640,2015,1805,"WN",499,"N238WN",75,85,59,130,140,"DEN","SLC",391,4,12,0,,0,18,0,0,0,112,"YES"
2007,3,17,6,1923,1850,2003,1940,"WN",2901,"N642WN",40,50,29,23,33,"SAT","HOU",192,4,7,0,,0,0,0,0,0,23,"YES"
2007,3,17,6,744,715,837,825,"WN",2981,"N391SW",113,130,100,12,29,"SLC","SEA",689,4,9,0,,0,0,0,0,0,0,"YES"
2007,3,17,6,944,940,1115,1105,"WN",381,"N736SA",91,85,70,10,4,"SMF","SNA",404,4,17,0,,0,0,0,0,0,0,"NO"
2007,3,17,6,1459,1350,1604,1515,"WN",2906,"N761RR",125,145,116,49,69,"TPA","HOU",781,3,6,0,,0,1,0,0,0,48,"YES"
2007,3,18,7,1027,1030,1131,1135,"WN",847,"N680AA",64,65,51,-4,-3,"GEG","PDX",279,3,10,0,,0,0,0,0,0,0,"NO"
2007,3,18,7,1757,1755,1857,1910,"WN",1280,"N460WN",60,75,42,-13,2,"PHL","PVD",238,5,13,0,,0,0,0,0,0,0,"NO"
2007,3,18,7,835,825,954,950,"WN",2859,"N442WN",79,85,62,4,10,"PHX","LAX",370,7,10,0,,0,0,0,0,0,0,"NO"
2007,3,19,1,1435,1435,1522,1530,"WN",2013,"N502SW",47,55,38,-8,0,"AUS","DAL",189,4,5,0,,0,0,0,0,0,0,"NO"
2007,3,19,1,1502,1450,1727,1720,"WN",763,"N758SW",85,90,68,7,12,"LAS","ABQ",487,5,12,0,,0,0,0,0,0,0,"NO"
2007,3,19,1,958,1000,1124,1135,"WN",1506,"N313SW",86,95,66,-11,-2,"LAS","OAK",407,5,15,0,,0,0,0,0,0,0,"NO"
2007,3,19,1,1720,1720,1900,1915,"WN",2275,"N400WN",220,235,208,-15,0,"MDW","LAS",1521,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,19,1,1531,1530,1644,1645,"WN",153,"N206WN",73,75,55,-1,1,"OAK","LAX",337,8,10,0,,0,0,0,0,0,0,"NO"
2007,3,19,1,1120,1100,1813,1815,"WN",96,"N478WN",233,255,219,-2,20,"PHX","BWI",1999,4,10,0,,0,0,0,0,0,0,"YES"
2007,3,19,1,2149,2055,2326,2245,"WN",938,"N627SW",97,110,85,41,54,"PHX","RNO",601,4,8,0,,0,2,0,0,0,39,"YES"
2007,3,20,2,2050,2055,2119,2135,"WN",2128,"N346SW",89,100,79,-16,-5,"AUS","ELP",528,3,7,0,,0,0,0,0,0,0,"NO"
2007,3,20,2,2122,2000,2230,2115,"WN",2108,"N736SA",68,75,46,75,82,"FLL","JAX",318,5,17,0,,0,0,0,0,0,75,"YES"
2007,3,20,2,710,710,1045,1050,"WN",1848,"N452WN",155,160,136,-5,0,"MDW","RSW",1105,4,15,0,,0,0,0,0,0,0,"NO"
2007,3,20,2,1938,1940,2229,2250,"WN",717,"N730SW",171,190,157,-21,-2,"PVD","TPA",1137,4,10,0,,0,0,0,0,0,0,"NO"
2007,3,20,2,935,935,1106,1115,"WN",2589,"N640SW",91,100,80,-9,0,"RDU","MCO",534,5,6,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,1610,1610,1750,1750,"WN",1179,"N396SW",100,100,85,0,0,"BNA","MCI",491,4,11,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,634,635,754,750,"WN",3052,"N252WN",140,135,126,4,-1,"ISP","MDW",765,5,9,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,1830,1825,1932,1930,"WN",3038,"N741SA",62,65,41,2,5,"LAS","LAX",236,5,16,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,1712,1630,1840,1730,"WN",2705,"N513SW",88,60,73,70,42,"STL","MDW",251,3,12,0,,0,0,42,28,0,0,"YES"
2007,3,22,4,2053,2040,2232,2220,"WN",478,"N323SW",99,100,84,12,13,"BWI","SDF",495,5,10,0,,0,0,0,0,0,0,"NO"
2007,3,22,4,1844,1730,2115,2025,"WN",816,"N729SW",331,355,318,50,74,"PVD","PHX",2277,7,6,0,,0,49,0,0,0,1,"YES"
2007,3,22,4,827,830,932,940,"WN",405,"N304SW",65,70,56,-8,-3,"STL","OMA",342,1,8,0,,0,0,0,0,0,0,"NO"
2007,3,22,4,1828,1730,1950,1900,"WN",538,"N617SW",202,210,188,50,58,"STL","PHX",1262,6,8,0,,0,29,0,0,0,21,"YES"
2007,3,23,5,1730,1730,1849,1850,"WN",890,"N764SW",259,260,244,-1,0,"DTW","PHX",1671,6,9,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,1934,1930,2029,2035,"WN",640,"N788SA",55,65,39,-6,4,"LAS","SNA",226,5,11,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,834,835,934,940,"WN",533,"N600WN",60,65,49,-6,-1,"LIT","DAL",296,3,8,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,1010,1010,1559,1550,"WN",714,"N760SW",229,220,214,9,0,"OAK","HOU",1642,5,10,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,908,905,1019,1015,"WN",1782,"N737JW",71,70,59,4,3,"SAN","TUS",367,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,1232,1230,1343,1350,"WN",145,"N636WN",71,80,55,-7,2,"SMF","LAX",373,5,11,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,927,930,1109,1130,"WN",555,"N342SW",102,120,90,-21,-3,"BHM","DAL",587,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,1507,1505,1639,1700,"WN",377,"N769SW",212,235,196,-21,2,"BNA","PHX",1448,6,10,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,1218,1215,1729,1720,"WN",2510,"N303SW",191,185,176,9,3,"LAX","MCI",1363,4,11,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,833,830,953,955,"WN",493,"N266WN",80,85,70,-2,3,"PHX","BUR",369,3,7,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,1447,1450,1613,1615,"WN",1604,"N623SW",86,85,74,-2,-3,"SMF","PDX",479,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,1729,1730,1841,1900,"WN",538,"N364SW",192,210,178,-19,-1,"STL","PHX",1262,6,8,0,,0,0,0,0,0,0,"NO"
2007,3,24,6,744,745,817,830,"WN",3270,"N508SW",153,165,136,-13,-1,"TUL","PHX",935,7,10,0,,0,0,0,0,0,0,"NO"
2007,3,25,7,1202,1205,1440,1505,"WN",1183,"N258WN",158,180,145,-25,-3,"ALB","MCO",1073,4,9,0,,0,0,0,0,0,0,"NO"
2007,3,25,7,2005,2005,2008,2010,"WN",2676,"N642WN",63,65,54,-2,0,"BOI","RNO",335,3,6,0,,0,0,0,0,0,0,"NO"
2007,3,25,7,2034,2040,2252,2310,"WN",2594,"N448WN",138,150,123,-18,-6,"MCO","PHL",861,5,10,0,,0,0,0,0,0,0,"NO"
2007,3,25,7,559,600,801,805,"WN",1696,"N422WN",62,65,51,-4,-1,"MDW","CLE",307,3,8,0,,0,0,0,0,0,0,"NO"
2007,3,26,1,1652,1630,1930,1920,"WN",1283,"N312SW",98,110,85,10,22,"MDW","RDU",632,3,10,0,,0,0,0,0,0,0,"YES"
2007,3,26,1,1145,1145,1253,1300,"WN",2024,"N481WN",68,75,56,-7,0,"OAK","ONT",361,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,26,1,1122,1120,1243,1245,"WN",1654,"N230WN",81,85,61,-2,2,"PHX","LAX",370,8,12,0,,0,0,0,0,0,0,"NO"
2007,3,26,1,2114,2120,2230,2235,"WN",994,"N492WN",76,75,65,-5,-6,"SJC","SAN",417,2,9,0,,0,0,0,0,0,0,"NO"
2007,3,26,1,1025,1025,1141,1140,"WN",1634,"N348SW",76,75,62,1,0,"SMF","ONT",389,4,10,0,,0,0,0,0,0,0,"NO"
2007,3,26,1,1629,1630,1914,1930,"WN",1993,"N386SW",105,120,94,-16,-1,"STL","BWI",737,4,7,0,,0,0,0,0,0,0,"NO"
2007,3,27,2,2042,2040,2214,2220,"WN",478,"N214WN",92,100,75,-6,2,"BWI","SDF",495,5,12,0,,0,0,0,0,0,0,"NO"
2007,3,27,2,835,835,942,945,"WN",843,"N416WN",67,70,55,-3,0,"CMH","BWI",336,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,27,2,1651,1655,1804,1815,"WN",120,"N369SW",73,80,63,-11,-4,"HOU","OKC",419,4,6,0,,0,0,0,0,0,0,"NO"
2007,3,27,2,1129,1130,1255,1315,"WN",2641,"N628SW",86,105,67,-20,-1,"LAS","OAK",407,6,13,0,,0,0,0,0,0,0,"NO"
2007,3,27,2,1231,1225,1343,1335,"WN",873,"N317WN",72,70,53,8,6,"SJC","LAX",308,8,11,0,,0,0,0,0,0,0,"NO"
2007,3,28,3,600,600,713,720,"WN",2084,"N233LV",73,80,59,-7,0,"OAK","SNA",371,4,10,0,,0,0,0,0,0,0,"NO"
2007,3,28,3,2041,2045,2156,2215,"WN",2308,"N701GS",75,90,58,-19,-4,"PHL","RDU",336,2,15,0,,0,0,0,0,0,0,"NO"
2007,3,28,3,2215,2145,2303,2235,"WN",794,"N498WN",48,50,36,28,30,"TPA","FLL",197,3,9,0,,0,28,0,0,0,0,"YES"
2007,3,29,4,1453,1445,2043,2035,"WN",337,"N201LV",230,230,219,8,8,"LAX","MDW",1750,5,6,0,,0,0,0,0,0,0,"NO"
2007,3,29,4,844,840,945,955,"WN",1791,"N610WN",61,75,46,-10,4,"PHX","LAS",256,5,10,0,,0,0,0,0,0,0,"NO"
2007,3,29,4,1257,1255,1404,1420,"WN",790,"N361SW",187,205,172,-16,2,"STL","PHX",1262,6,9,0,,0,0,0,0,0,0,"NO"
2007,3,30,5,2003,1955,2121,2130,"WN",2252,"N490WN",78,95,65,-9,8,"PHL","CMH",405,2,11,0,,0,0,0,0,0,0,"NO"
2007,3,30,5,1827,1810,51,50,"WN",550,"N439WN",204,220,192,1,17,"PHX","DTW",1671,6,6,0,,0,0,0,0,0,0,"YES"
2007,3,31,6,800,800,939,920,"WN",3217,"N776WN",99,80,81,19,0,"JAN","HOU",359,8,10,0,,0,0,0,19,0,0,"NO"
2007,3,31,6,1926,1930,1952,2000,"WN",1138,"N693SW",86,90,73,-8,-4,"JAX","BNA",484,5,8,0,,0,0,0,0,0,0,"NO"
2007,3,31,6,843,820,1004,945,"WN",780,"N638SW",81,85,70,19,23,"MSY","DAL",437,3,8,0,,0,19,0,0,0,0,"YES"
2007,3,1,4,1559,1600,1709,1713,"XE",3090,"N15948",70,73,43,-4,-1,"IAH","DFW",224,9,18,0,,0,0,0,0,0,0,"NO"
2007,3,1,4,905,910,1103,1108,"XE",2704,"N14933",118,118,88,-5,-5,"MEM","IAH",469,7,23,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,1242,1220,1405,1324,"XE",2226,"N14942",83,64,46,41,22,"CLE","MDT",280,5,32,0,,0,0,22,19,0,0,"YES"
2007,3,4,7,2232,2105,2336,2229,"XE",2043,"N14562",64,84,45,67,87,"EWR","BTV",266,5,14,0,,0,22,0,0,0,45,"YES"
2007,3,5,1,1229,1230,1401,1409,"XE",3109,"N17521",92,99,72,-8,-1,"IAH","VPS",510,5,15,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,1027,1035,1356,1419,"XE",3157,"N13118",149,164,134,-23,-8,"IAH","GRR",1042,6,9,0,,0,0,0,0,0,0,"NO"
2007,3,6,2,1643,1650,1744,1750,"XE",3133,"N15527",61,60,29,-6,-7,"LCH","IAH",127,21,11,0,,0,0,0,0,0,0,"NO"
2007,3,8,4,741,745,917,919,"XE",2074,"N13979",96,94,75,-2,-4,"LBB","IAH",458,8,13,0,,0,0,0,0,0,0,"NO"
2007,3,9,5,2054,2035,2254,2253,"XE",2793,"N18114",180,198,162,1,19,"CLE","AUS",1174,6,12,0,,0,0,0,0,0,0,"YES"
2007,3,9,5,1135,1130,1317,1325,"XE",2770,"N19503",102,115,86,-8,5,"CVG","EWR",569,4,12,0,,0,0,0,0,0,0,"NO"
2007,3,9,5,1609,1545,1751,1709,"XE",2214,"N27512",102,84,44,42,24,"EWR","ROC",246,5,53,0,,0,8,0,18,0,16,"YES"
2007,3,9,5,626,625,1019,1015,"XE",2576,"N14116",173,170,143,4,1,"OMA","EWR",1133,6,24,0,,0,0,0,0,0,0,"NO"
2007,3,10,6,1859,1900,2223,2229,"XE",2049,"N31131",144,149,117,-6,-1,"IAH","CLT",913,6,21,0,,0,0,0,0,0,0,"NO"
2007,3,11,7,855,905,1039,1048,"XE",2253,"N14953",164,163,133,-9,-10,"CLE","MSY",917,6,25,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,753,755,908,927,"XE",2269,"N14158",75,92,59,-19,-2,"CLE","RDU",416,5,11,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,839,845,1101,1122,"XE",3077,"N11127",142,157,126,-21,-6,"CLE","SRQ",967,3,13,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,855,900,1114,1132,"XE",2527,"N11119",199,212,163,-18,-5,"DCA","IAH",1208,10,26,0,,0,0,0,0,0,0,"NO"
2007,3,13,2,1723,1725,1822,1829,"XE",2040,"N14943",59,64,40,-7,-2,"IAH","CRP",201,5,14,0,,0,0,0,0,0,0,"NO"
2007,3,16,5,901,910,1106,1105,"XE",3101,"N14570",125,115,85,1,-9,"CLT","EWR",529,16,24,0,,0,0,0,0,0,0,"NO"
2007,3,16,5,853,855,1237,1238,"XE",2373,"N16149",164,163,140,-1,-2,"MSP","EWR",1008,12,12,0,,0,0,0,0,0,0,"NO"
2007,3,16,5,836,840,1049,1009,"XE",2346,"N13955",133,89,82,40,-4,"PIT","EWR",319,7,44,0,,0,0,0,40,0,0,"NO"
2007,3,18,7,1001,1000,1100,1105,"XE",2002,"N14933",59,65,43,-5,1,"IAH","DAL",217,3,13,0,,0,0,0,0,0,0,"NO"
2007,3,18,7,1618,1420,1803,1559,"XE",2125,"N21197",105,99,67,124,118,"ORF","EWR",284,5,33,0,,0,0,0,124,0,0,"YES"
2007,3,19,1,1015,1015,1118,1132,"XE",2151,"N15948",63,77,50,-14,0,"IAH","BRO",308,4,9,0,,0,0,0,0,0,0,"NO"
2007,3,20,2,848,840,1134,1117,"XE",2851,"N14173",226,217,171,17,8,"EWR","MCI",1092,6,49,0,,0,8,0,9,0,0,"NO"
2007,3,20,2,1622,1630,1727,1735,"XE",2645,"N13969",65,65,43,-8,-8,"IAH","DAL",217,4,18,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,1142,1140,1256,1307,"XE",2242,"N23139",134,147,117,-11,2,"IAH","COS",809,6,11,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,632,640,749,804,"XE",2929,"N14938",77,84,59,-15,-8,"MHT","EWR",209,5,13,0,,0,0,0,0,0,0,"NO"
2007,3,21,3,1724,1720,2017,2022,"XE",2427,"N14904",173,182,151,-5,4,"MKE","IAH",984,12,10,0,,0,0,0,0,0,0,"NO"
2007,3,22,4,1042,1045,1210,1245,"XE",2576,"N16178",88,120,65,-35,-3,"EWR","GSO",446,4,19,0,,0,0,0,0,0,0,"NO"
2007,3,22,4,2033,1720,2221,1912,"XE",2812,"N15986",108,112,67,189,193,"EWR","GSO",446,4,37,0,,0,0,0,0,0,189,"YES"
2007,3,22,4,904,905,1057,1102,"XE",3016,"N14904",113,117,90,-5,-1,"IAH","MCI",643,6,17,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,857,900,1032,1035,"XE",6211,"N18557",95,95,72,-3,-3,"BOS","BUF",396,4,19,0,,0,0,0,0,0,0,"NO"
2007,3,23,5,1729,1645,1920,1840,"XE",6311,"N16559",111,115,91,40,44,"JFK","CMH",483,4,16,0,,0,40,0,0,0,0,"YES"
2007,3,24,6,1658,1700,1817,1829,"XE",2266,"N14937",79,89,58,-12,-2,"BUF","EWR",282,7,14,0,,0,0,0,0,0,0,"NO"
2007,3,25,7,925,935,1014,1034,"XE",2142,"N16178",49,59,37,-20,-10,"ALB","EWR",143,4,8,0,,0,0,0,0,0,0,"NO"
2007,3,25,7,1405,1405,1536,1547,"XE",3019,"N14174",91,102,73,-11,0,"IAH","BHM",562,6,12,0,,0,0,0,0,0,0,"NO"
